participantId,priming_condition,wave,session_id,eval_start,pre_active_m2_ann,post_active_m2_ann
525,risk-averse,wave1,9,2026-05-12,-0.0089927804667332,-0.0228967480429585
1015,risk-seeking,wave1,9,2026-05-09,-0.0117964413585839,-0.0148416913255394
1134,risk-seeking,wave1,9,2026-05-09,-0.0258237043551603,-0.0258237043551603
1811,risk-seeking,wave1,9,2026-05-09,-0.0252105816840716,-0.0252105816840716
1992,risk-averse,wave1,9,2026-05-09,-0.0106495026820197,-0.0106495026820197
677,risk-seeking,wave1,9,2026-05-09,-0.0461822075045802,-0.0461822075045802
1057,risk-averse,wave1,9,2026-05-09,-0.0187581020888624,-0.0187581020888624
420,risk-seeking,wave1,9,2026-05-09,-0.0401504255109908,-0.0303916197991333
1140,risk-averse,wave1,9,2026-05-09,-0.0188509152294358,-0.0188509152294358
1684,risk-averse,wave1,9,2026-05-09,-0.0163387336912395,-0.0163387336912395
459,risk-seeking,wave1,9,2026-05-09,-0.0193940408935035,-0.0118513868291056
2396,risk-averse,wave1,9,2026-05-09,-0.0077913301265984,-0.0123889996833705
14,risk-seeking,wave1,9,2026-05-09,-0.010752109143337,-0.0172862462090063
1286,risk-seeking,wave1,9,2026-05-09,-0.0243819681145473,-0.0269778376974796
2327,risk-seeking,wave1,9,2026-05-09,-0.0037308739858115,-0.0145335165086042
1205,risk-averse,wave1,9,2026-05-09,-0.0006294967172777,-0.0006294967172777
378,risk-seeking,wave1,9,2026-05-09,-0.015955480769493,-0.015955480769493
1643,risk-averse,wave1,9,2026-05-09,-0.0183074908519496,-0.0209693087956896
755,risk-averse,wave1,9,2026-05-09,-0.0034071322307108,-0.0314599267162003
1866,risk-seeking,wave1,9,2026-05-09,-0.0163040613080414,-0.0137433950923599
2031,risk-averse,wave1,9,2026-05-09,-0.0316721399265859,-0.0316721399265859
2039,risk-seeking,wave1,9,2026-05-09,-0.0178539936005984,-0.0102679227092488
2161,risk-seeking,wave1,9,2026-05-09,-0.0335837870732337,-0.0252194050664483
1881,risk-seeking,wave1,9,2026-05-09,-0.0325157749254607,-0.0172548617565569
463,risk-averse,wave1,9,2026-05-09,-0.0430471119711243,-0.0430471119711243
1035,risk-seeking,wave1,9,2026-05-09,0.0036590572978334,0.0008846883001394
1802,risk-seeking,wave1,9,2026-05-09,-0.0224243188068951,-0.0224243188068951
347,risk-seeking,wave1,9,2026-05-09,0.016584623836064,0.016584623836064
712,risk-seeking,wave1,9,2026-05-09,-0.0138902017213639,-0.0138902017213639
44,risk-averse,wave1,9,2026-05-09,-0.0216057719635658,-0.0277959827201891
1980,risk-seeking,wave1,9,2026-05-09,-0.0349252403464478,-0.0362287195831048
1313,risk-averse,wave1,9,2026-05-09,-0.0349857737782662,-0.0330380418574062
1066,risk-averse,wave1,9,2026-05-09,-0.0370509542781507,-0.0196089594276957
26,risk-seeking,wave1,9,2026-05-09,-0.023736021574117,-0.0290960575913474
1944,risk-seeking,wave1,9,2026-05-09,0.0088690046894366,-0.0106560016451972
937,risk-averse,wave1,9,2026-05-09,-0.0062899570814908,-0.0102793421733454
718,risk-seeking,wave1,9,2026-05-09,-0.0266515304095073,-0.039077576417565
440,risk-seeking,wave1,9,2026-05-09,-0.0425779484985528,-0.0425779484985528
1823,risk-seeking,wave1,9,2026-05-09,-0.0271630396135186,-0.0404890820471612
1343,risk-seeking,wave1,9,2026-05-09,-0.016621027494233,-0.0199642303244425
562,risk-seeking,wave1,9,2026-05-09,-0.0400880817206594,-0.0400880817206594
1764,risk-seeking,wave1,9,2026-05-09,-0.0140806842403346,-0.0048189277343109
1290,risk-seeking,wave1,9,2026-05-09,-0.0107662918893029,-0.0107662918893029
1201,risk-seeking,wave1,9,2026-05-09,-0.0209710355160973,-0.043125531434776
1130,risk-seeking,wave1,9,2026-05-09,-0.003470647631959,-0.0202791952408339
1693,risk-averse,wave1,9,2026-05-08,-0.0108854451029423,-0.0248240442453313
1230,risk-averse,wave1,9,2026-05-08,-0.0327218063080586,-0.0324050959124034
442,risk-seeking,wave1,9,2026-05-08,-0.0333116457819163,-0.0451111631688831
747,risk-averse,wave1,9,2026-05-08,-0.0043012527931643,-0.0043012527931643
2061,risk-seeking,wave1,9,2026-05-08,-0.0112380598804734,-0.0298943680146512
558,risk-seeking,wave1,9,2026-05-08,-0.0024495281386281,-0.0024495281386281
134,risk-seeking,wave1,9,2026-05-09,-0.0202553685372916,-0.0202553685372916
33,risk-averse,wave1,9,2026-05-08,0.0023230904410929,-0.0067580890647153
1250,risk-seeking,wave1,9,2026-05-08,-0.0077970675456534,-0.0077970675456534
456,risk-averse,wave1,9,2026-05-08,-0.005674062442676,-0.0180107472694712
202,risk-seeking,wave1,9,2026-05-08,-0.0206904445830983,-0.020408718200804
2192,risk-averse,wave1,9,2026-05-08,0.0083806382196976,0.0083806382196976
520,risk-averse,wave1,9,2026-05-08,0.0048814187293281,0.0048814187293281
1862,risk-seeking,wave1,4,2026-05-08,-0.0470702039872139,-0.0470702039872139
1258,risk-seeking,wave1,4,2026-05-08,-0.0474127173849862,-0.0490431435708071
893,risk-averse,wave1,4,2026-05-08,-0.0187141753318983,-0.0254839658950503
1592,risk-seeking,wave1,4,2026-05-08,-0.0114534939254702,-0.0114534939254702
1642,risk-averse,wave1,4,2026-05-08,-0.0224016924057117,-0.0224016924057117
1744,risk-averse,wave1,4,2026-05-08,-0.0104417586906803,-0.0287350715441019
92,risk-averse,wave1,4,2026-05-08,-0.0500754874315575,-0.0500754874315575
1270,risk-averse,wave1,4,2026-05-08,-0.0142843172417167,-0.0142843172417167
1153,risk-averse,wave1,4,2026-05-08,-0.0366840721212154,-0.0358984847912084
790,risk-seeking,wave1,4,2026-05-08,-0.0606294398381071,-0.0250390792893872
1712,risk-seeking,wave1,4,2026-05-08,-0.0275337131800444,-0.0378836889652874
288,risk-averse,wave1,4,2026-05-08,-0.0531995057053455,-0.0272732014954929
2151,risk-seeking,wave1,4,2026-05-08,-0.0113090915106542,-0.0113090915106542
784,risk-seeking,wave1,4,2026-05-08,-0.0068818224931528,-0.000458561813426
1073,risk-seeking,wave1,4,2026-05-08,-0.0419931141986419,-0.038341110371926
1366,risk-averse,wave1,4,2026-05-08,-0.0067206280186702,-0.0313271482806848
1431,risk-seeking,wave1,4,2026-05-08,-0.0025993190317032,-0.0025993190317032
2077,risk-seeking,wave1,4,2026-05-08,-0.0265099111658894,-0.0265099111658894
1423,risk-averse,wave1,4,2026-05-08,-0.0216818962055773,-0.0216818962055773
1858,risk-averse,wave1,4,2026-05-08,-0.0225782111091059,-0.0263625558909927
2162,risk-averse,wave1,4,2026-05-08,-0.0234275673887182,-0.0198157927241683
1921,risk-seeking,wave1,4,2026-05-08,-0.0076325895379067,-0.0076325895379067
1120,risk-seeking,wave1,4,2026-05-08,-0.0319125024527057,-0.0344401991096579
2227,risk-averse,wave1,4,2026-05-08,-0.0397009855695751,-0.0397009855695751
983,risk-seeking,wave1,4,2026-05-08,-0.0384931872358249,-0.0384931872358249
1185,risk-seeking,wave1,4,2026-05-08,-0.0759136484039058,-0.0759136484039058
203,risk-averse,wave1,4,2026-05-08,-0.0335690218469537,-0.0136371785895317
1968,risk-seeking,wave1,4,2026-05-08,-0.0368813869115077,-0.0540784056746078
2382,risk-seeking,wave1,3,2026-05-08,-0.0452053254478034,-0.0452053254478034
1390,risk-averse,wave1,3,2026-05-08,-0.0173254682243897,-0.0173254682243897
2113,risk-seeking,wave1,3,2026-05-08,-0.0084184163799096,-0.0170576161075179
1113,risk-seeking,wave1,3,2026-05-08,-0.0122106707226208,-0.0127445451986159
339,risk-seeking,wave1,3,2026-05-08,-0.0343167448961907,-0.026064818850691
1924,risk-seeking,wave1,3,2026-05-08,-0.0450658201068145,-0.0450658201068145
2062,risk-averse,wave1,3,2026-05-08,-0.008030784969885,-0.008030784969885
412,risk-seeking,wave1,3,2026-05-08,-0.0538543194996361,-0.0143182432947852
1260,risk-averse,wave1,3,2026-05-08,0.0016572922029925,-0.0078302724859957
1259,risk-averse,wave1,3,2026-05-08,-0.0169500803737895,-0.0169500803737895
